AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL A;COEF. PERFIL B;COEF. PERFIL C;COEF. PERFIL D;
2016;02;01;1;0;0.000094243600;0.000214863175;0.000079429807;0.000167909335;
2016;02;01;2;0;0.000074614349;0.000199788089;0.000077907479;0.000172000012;
2016;02;01;3;0;0.000065723171;0.000186178308;0.000076597051;0.000167250311;
2016;02;01;4;0;0.000061560820;0.000177006001;0.000077695168;0.000160210343;
2016;02;01;5;0;0.000060454500;0.000173106384;0.000075903368;0.000154199265;
2016;02;01;6;0;0.000062431800;0.000179100083;0.000079538052;0.000154635458;
2016;02;01;7;0;0.000073696636;0.000188107416;0.000090216215;0.000161574311;
2016;02;01;8;0;0.000103767610;0.000186929872;0.000114995849;0.000163953895;
2016;02;01;9;0;0.000127665945;0.000141230425;0.000150414612;0.000097332109;
2016;02;01;10;0;0.000143038807;0.000123323741;0.000177125068;0.000071028999;
2016;02;01;11;0;0.000157895031;0.000116171014;0.000185206734;0.000070241973;
2016;02;01;12;0;0.000160520488;0.000101127267;0.000184455320;0.000067111253;
2016;02;01;13;0;0.000162713697;0.000076989250;0.000180578306;0.000063555527;
2016;02;01;14;0;0.000164253799;0.000075403620;0.000168230110;0.000059950162;
2016;02;01;15;0;0.000154532439;0.000074327580;0.000147719864;0.000057350089;
2016;02;01;16;0;0.000146450197;0.000071374848;0.000140577124;0.000051557150;
2016;02;01;17;0;0.000147684018;0.000068917584;0.000140570850;0.000048874458;
2016;02;01;18;0;0.000156088022;0.000069410975;0.000145606415;0.000055157450;
2016;02;01;19;0;0.000168021842;0.000089416769;0.000148131187;0.000071215477;
2016;02;01;20;0;0.000184665326;0.000157696948;0.000151207367;0.000200726016;
2016;02;01;21;0;0.000189311269;0.000175281354;0.000134354142;0.000234592944;
2016;02;01;22;0;0.000182152620;0.000180171292;0.000112401885;0.000236518615;
2016;02;01;23;0;0.000158959969;0.000216030588;0.000097023298;0.000208190925;
2016;02;01;24;0;0.000127681412;0.000225201682;0.000087675769;0.000184320466;
2016;02;02;1;0;0.000097225290;0.000216911537;0.000082644126;0.000171739287;
2016;02;02;2;0;0.000076341365;0.000201600710;0.000080250586;0.000176180606;
2016;02;02;3;0;0.000066889426;0.000187591125;0.000080237025;0.000172344516;
2016;02;02;4;0;0.000062770420;0.000178624694;0.000079341315;0.000165341527;
2016;02;02;5;0;0.000061704318;0.000175184086;0.000079452863;0.000159684265;
2016;02;02;6;0;0.000063818121;0.000181254882;0.000081912962;0.000158335629;
2016;02;02;7;0;0.000075241345;0.000189163404;0.000092576123;0.000164216913;
2016;02;02;8;0;0.000105633326;0.000187693185;0.000117049319;0.000163690491;
2016;02;02;9;0;0.000129798401;0.000142307459;0.000153537417;0.000095621765;
2016;02;02;10;0;0.000144293842;0.000123731912;0.000176717177;0.000071985080;
2016;02;02;11;0;0.000157224284;0.000116123056;0.000185502870;0.000069224708;
2016;02;02;12;0;0.000158455174;0.000100235937;0.000183599314;0.000064654820;
2016;02;02;13;0;0.000159991818;0.000076155124;0.000181648887;0.000060383927;
2016;02;02;14;0;0.000161352241;0.000074499474;0.000169236862;0.000058957201;
2016;02;02;15;0;0.000152907271;0.000073739025;0.000148299559;0.000055208984;
2016;02;02;16;0;0.000145278238;0.000070576407;0.000141889804;0.000049806883;
2016;02;02;17;0;0.000145852353;0.000068367651;0.000143362379;0.000046594506;
2016;02;02;18;0;0.000154509496;0.000069480143;0.000145394648;0.000052041333;
2016;02;02;19;0;0.000166472674;0.000088088479;0.000147529812;0.000067522944;
2016;02;02;20;0;0.000183346720;0.000156778584;0.000152288785;0.000196438426;
2016;02;02;21;0;0.000188859304;0.000174861212;0.000136006494;0.000235199198;
2016;02;02;22;0;0.000181965142;0.000180052776;0.000115743010;0.000237991849;
2016;02;02;23;0;0.000159397246;0.000215576799;0.000099261479;0.000209675009;
2016;02;02;24;0;0.000128648808;0.000225807980;0.000089365449;0.000186681441;
2016;02;03;1;0;0.000097631602;0.000217413699;0.000083113666;0.000171972183;
2016;02;03;2;0;0.000076678415;0.000202114906;0.000080725491;0.000176460979;
2016;02;03;3;0;0.000067160141;0.000188000715;0.000080682292;0.000172555568;
2016;02;03;4;0;0.000063011601;0.000178978171;0.000079765328;0.000165510217;
2016;02;03;5;0;0.000061966242;0.000175601143;0.000079909503;0.000159911282;
2016;02;03;6;0;0.000064094539;0.000181702045;0.000082390839;0.000158574390;
2016;02;03;7;0;0.000075534378;0.000189547610;0.000093075714;0.000164393019;
2016;02;03;8;0;0.000106076617;0.000188130969;0.000117716374;0.000163915316;
2016;02;03;9;0;0.000130337259;0.000142632991;0.000154405494;0.000095748808;
2016;02;03;10;0;0.000144857182;0.000123984399;0.000177672527;0.000072062961;
2016;02;03;11;0;0.000157854548;0.000116372137;0.000186525144;0.000069306821;
2016;02;03;12;0;0.000159173240;0.000100503265;0.000184707259;0.000064765231;
2016;02;03;13;0;0.000160721904;0.000076360631;0.000182750812;0.000060488948;
2016;02;03;14;0;0.000162141586;0.000074724962;0.000170319220;0.000059079070;
2016;02;03;15;0;0.000153667509;0.000073968087;0.000149259866;0.000055327500;
