AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2021;08;01;1;1;0.000108256375;0.000100469725;0.000059268554;;
2021;08;01;2;1;0.000096085359;0.000091899428;0.000031937093;;
2021;08;01;3;1;0.000086286195;0.000086742001;0.000037460681;;
2021;08;01;4;1;0.000079928038;0.000084082004;0.000013438984;;
2021;08;01;5;1;0.000076034376;0.000083035787;0.000015238326;;
2021;08;01;6;1;0.000074176548;0.000083346956;0.000011951724;;
2021;08;01;7;1;0.000073721863;0.000084675822;0.000022700229;;
2021;08;01;8;1;0.000070748893;0.000078143216;0.000006463488;;
2021;08;01;9;1;0.000076646030;0.000079954275;0.000013623063;;
2021;08;01;10;1;0.000090143934;0.000087547422;0.000025028645;;
2021;08;01;11;1;0.000102727242;0.000094476510;0.000035543090;;
2021;08;01;12;1;0.000110306793;0.000098915636;0.000037436300;;
2021;08;01;13;1;0.000115466665;0.000102742573;0.000054761666;;
2021;08;01;14;1;0.000123380391;0.000105332832;0.000088288421;;
2021;08;01;15;1;0.000128232475;0.000104146314;0.000063892471;;
2021;08;01;16;1;0.000122007028;0.000101308200;0.000053602335;;
2021;08;01;17;1;0.000117338420;0.000098520520;0.000055617451;;
2021;08;01;18;1;0.000115391463;0.000095601843;0.000067925142;;
2021;08;01;19;1;0.000115449469;0.000095400297;0.000057642319;;
2021;08;01;20;1;0.000115533828;0.000097428492;0.000074261847;;
2021;08;01;21;1;0.000118526812;0.000101126416;0.000096559784;;
2021;08;01;22;1;0.000135734463;0.000112584622;0.000086689006;;
2021;08;01;23;1;0.000137527305;0.000110437385;0.000080865528;;
2021;08;01;24;1;0.000124346344;0.000101713183;0.000050554669;;
2021;08;02;1;1;0.000107630549;0.000091726472;0.000037062445;;
2021;08;02;2;1;0.000092675554;0.000084672469;0.000019255699;;
2021;08;02;3;1;0.000082863977;0.000080915019;0.000015356509;;
2021;08;02;4;1;0.000077199705;0.000079250077;0.000014499971;;
2021;08;02;5;1;0.000074005203;0.000078643345;0.000009917341;;
2021;08;02;6;1;0.000072688716;0.000080613873;0.000029723672;;
2021;08;02;7;1;0.000074908954;0.000087721818;0.000016553275;;
2021;08;02;8;1;0.000076479446;0.000095697479;0.000034582363;;
2021;08;02;9;1;0.000084227111;0.000119551779;0.000061102224;;
2021;08;02;10;1;0.000096924023;0.000136894156;0.000133964689;;
2021;08;02;11;1;0.000106969940;0.000147611899;0.000141715317;;
2021;08;02;12;1;0.000112055553;0.000152458985;0.000136762615;;
2021;08;02;13;1;0.000117999157;0.000156168451;0.000143792497;;
2021;08;02;14;1;0.000128306636;0.000154130100;0.000157115101;;
2021;08;02;15;1;0.000133354778;0.000141607018;0.000142125679;;
2021;08;02;16;1;0.000127801085;0.000131754616;0.000119194625;;
2021;08;02;17;1;0.000123610227;0.000130199999;0.000125502269;;
2021;08;02;18;1;0.000122737047;0.000130747808;0.000131178701;;
2021;08;02;19;1;0.000121155416;0.000128447479;0.000109753304;;
2021;08;02;20;1;0.000119454612;0.000124224769;0.000120718189;;
2021;08;02;21;1;0.000121781720;0.000119917322;0.000100346305;;
2021;08;02;22;1;0.000139480409;0.000123212888;0.000103569515;;
2021;08;02;23;1;0.000140074322;0.000114015321;0.000068603649;;
2021;08;02;24;1;0.000124058566;0.000103472999;0.000080195270;;
2021;08;03;1;1;0.000106423746;0.000095349437;0.000051168059;;
2021;08;03;2;1;0.000091276640;0.000088508572;0.000033780516;;
2021;08;03;3;1;0.000081700212;0.000084490525;0.000034191084;;
2021;08;03;4;1;0.000076325948;0.000082633592;0.000020629777;;
2021;08;03;5;1;0.000073207772;0.000081974307;0.000018237508;;
2021;08;03;6;1;0.000071828261;0.000083693603;0.000021525309;;
2021;08;03;7;1;0.000074224936;0.000090555348;0.000021928437;;
2021;08;03;8;1;0.000076880403;0.000098705337;0.000028892289;;
2021;08;03;9;1;0.000085119396;0.000122259484;0.000061465744;;
2021;08;03;10;1;0.000097931127;0.000139365435;0.000099007865;;
2021;08;03;11;1;0.000108157644;0.000150998752;0.000145368137;;
2021;08;03;12;1;0.000113198026;0.000156039785;0.000142592267;;
2021;08;03;13;1;0.000119091820;0.000160015672;0.000125607388;;
2021;08;03;14;1;0.000128957976;0.000157470343;0.000124872736;;
2021;08;03;15;1;0.000132885019;0.000145156614;0.000138354533;;
2021;08;03;16;1;0.000126735806;0.000135695826;0.000131884944;;
2021;08;03;17;1;0.000122588185;0.000134074175;0.000118250637;;
2021;08;03;18;1;0.000122035102;0.000134483154;0.000108794083;;
2021;08;03;19;1;0.000121089015;0.000131627202;0.000099636504;;
2021;08;03;20;1;0.000119534427;0.000127708580;0.000099402159;;
2021;08;03;21;1;0.000121549313;0.000123408656;0.000103271172;;
2021;08;03;22;1;0.000138368338;0.000125769923;0.000106783089;;
2021;08;03;23;1;0.000138855106;0.000116917140;0.000095332744;;
2021;08;03;24;1;0.000123400282;0.000105704582;0.000067853498;;
2021;08;04;1;1;0.000108346939;0.000097153503;0.000051957114;;
2021;08;04;2;1;0.000092882927;0.000090165462;0.000034301440;;
2021;08;04;3;1;0.000082998891;0.000086010152;0.000034718340;;
2021;08;04;4;1;0.000077473902;0.000084089402;0.000020947906;;
2021;08;04;5;1;0.000074288062;0.000083408486;0.000018518746;;
2021;08;04;6;1;0.000072998955;0.000085212988;0.000021857247;;
2021;08;04;7;1;0.000075341839;0.000092150827;0.000022266593;;
2021;08;04;8;1;0.000077689654;0.000100252983;0.000029337833;;
2021;08;04;9;1;0.000085963247;0.000124145174;0.000062413598;;
2021;08;04;10;1;0.000099043128;0.000141601006;0.000100534650;;
2021;08;04;11;1;0.000109378103;0.000153416464;0.000147609837;;
2021;08;04;12;1;0.000114195746;0.000158374645;0.000144791162;;
2021;08;04;13;1;0.000120307813;0.000162504891;0.000127544361;;
2021;08;04;14;1;0.000130403057;0.000159986256;0.000126798380;;
2021;08;04;15;1;0.000134696296;0.000147625572;0.000140488078;;
2021;08;04;16;1;0.000128761382;0.000138139254;0.000133918723;;
2021;08;04;17;1;0.000124793686;0.000136602077;0.000120074163;;
2021;08;04;18;1;0.000123981863;0.000136902793;0.000110471780;;
2021;08;04;19;1;0.000122719419;0.000133856612;0.000101172984;;
2021;08;04;20;1;0.000120839230;0.000129733403;0.000100935025;;
2021;08;04;21;1;0.000123090700;0.000125457887;0.000104863702;;
2021;08;04;22;1;0.000139610554;0.000127659816;0.000108429775;;
2021;08;04;23;1;0.000140268972;0.000118732944;0.000096802856;;
2021;08;04;24;1;0.000124813396;0.000107403849;0.000068899857;;
2021;08;05;1;1;0.000109522268;0.000098569926;0.000052661895;;
