AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2021;11;01;1;0;0.000097168286;0.000075377347;0.000065603037;;
2021;11;01;2;0;0.000082066306;0.000070210611;0.000035538408;;
2021;11;01;3;0;0.000071803501;0.000068066039;0.000038600336;;
2021;11;01;4;0;0.000065854802;0.000066819237;0.000040432483;;
2021;11;01;5;0;0.000063634035;0.000066789976;0.000025422236;;
2021;11;01;6;0;0.000063987980;0.000067460545;0.000042069011;;
2021;11;01;7;0;0.000066522789;0.000069514727;0.000052835261;;
2021;11;01;8;0;0.000070673689;0.000067457868;0.000031752447;;
2021;11;01;9;0;0.000080823691;0.000063761897;0.000029365646;;
2021;11;01;10;0;0.000102732984;0.000068025330;0.000061657241;;
2021;11;01;11;0;0.000119078654;0.000072905451;0.000087549441;;
2021;11;01;12;0;0.000124249766;0.000076574637;0.000084784521;;
2021;11;01;13;0;0.000123529575;0.000079056975;0.000124293774;;
2021;11;01;14;0;0.000129820172;0.000079526770;0.000139710768;;
2021;11;01;15;0;0.000129220373;0.000077142335;0.000132602848;;
2021;11;01;16;0;0.000114471554;0.000074144352;0.000144059732;;
2021;11;01;17;0;0.000106623524;0.000071864018;0.000119245827;;
2021;11;01;18;0;0.000106870276;0.000071688123;0.000122567787;;
2021;11;01;19;0;0.000125690893;0.000084959047;0.000116265009;;
2021;11;01;20;0;0.000138803252;0.000088883517;0.000102365262;;
2021;11;01;21;0;0.000148048029;0.000088287349;0.000139602223;;
2021;11;01;22;0;0.000148049775;0.000084525199;0.000124274689;;
2021;11;01;23;0;0.000133499829;0.000078283849;0.000088108867;;
2021;11;01;24;0;0.000111632640;0.000072712906;0.000059166666;;
2021;11;02;1;0;0.000088439430;0.000067286330;0.000053271403;;
2021;11;02;2;0;0.000072437123;0.000064258127;0.000046818383;;
2021;11;02;3;0;0.000064298054;0.000063253726;0.000042472283;;
2021;11;02;4;0;0.000060689043;0.000062929250;0.000034625057;;
2021;11;02;5;0;0.000059742200;0.000063216350;0.000025017625;;
2021;11;02;6;0;0.000062160705;0.000065568069;0.000028421855;;
2021;11;02;7;0;0.000072960353;0.000074841964;0.000025451132;;
2021;11;02;8;0;0.000095671308;0.000091677735;0.000038733279;;
2021;11;02;9;0;0.000104646044;0.000117346082;0.000095796957;;
2021;11;02;10;0;0.000105958437;0.000135752690;0.000175294663;;
2021;11;02;11;0;0.000109049480;0.000141463662;0.000213776746;;
2021;11;02;12;0;0.000108702179;0.000141071372;0.000212374275;;
2021;11;02;13;0;0.000109878329;0.000140766544;0.000195226837;;
2021;11;02;14;0;0.000117477017;0.000133381702;0.000190223588;;
2021;11;02;15;0;0.000118414380;0.000117690668;0.000192333265;;
2021;11;02;16;0;0.000111987488;0.000112933501;0.000193309116;;
2021;11;02;17;0;0.000107508392;0.000114021036;0.000176942360;;
2021;11;02;18;0;0.000111205960;0.000117932839;0.000170490717;;
2021;11;02;19;0;0.000129792784;0.000127977272;0.000177760239;;
2021;11;02;20;0;0.000144405962;0.000121984570;0.000185669460;;
2021;11;02;21;0;0.000156816521;0.000110641871;0.000168676781;;
2021;11;02;22;0;0.000158239269;0.000096246430;0.000148108581;;
2021;11;02;23;0;0.000143293126;0.000082891657;0.000101578132;;
2021;11;02;24;0;0.000117800839;0.000073896798;0.000087493262;;
2021;11;03;1;0;0.000094225586;0.000071167172;0.000055429087;;
2021;11;03;2;0;0.000077266968;0.000067998897;0.000048714696;;
2021;11;03;3;0;0.000068339252;0.000066834449;0.000044192564;;
2021;11;03;4;0;0.000064288578;0.000066397723;0.000036027497;;
2021;11;03;5;0;0.000063067637;0.000066602306;0.000026030929;;
2021;11;03;6;0;0.000065122547;0.000068854261;0.000029573042;;
2021;11;03;7;0;0.000075555591;0.000078208621;0.000026481995;;
2021;11;03;8;0;0.000098939935;0.000095746792;0.000040302116;;
2021;11;03;9;0;0.000107705091;0.000122306902;0.000099677079;;
2021;11;03;10;0;0.000109108635;0.000141520668;0.000182394729;;
2021;11;03;11;0;0.000112383304;0.000147525090;0.000222435475;;
2021;11;03;12;0;0.000111946697;0.000147071781;0.000220976198;;
2021;11;03;13;0;0.000113229088;0.000146792099;0.000203134228;;
2021;11;03;14;0;0.000120752936;0.000138939387;0.000197928329;;
2021;11;03;15;0;0.000121878361;0.000122663281;0.000200123455;;
2021;11;03;16;0;0.000114901506;0.000117547729;0.000201138832;;
2021;11;03;17;0;0.000110490514;0.000118765752;0.000184109163;;
2021;11;03;18;0;0.000114140693;0.000122774565;0.000177396206;;
2021;11;03;19;0;0.000133049855;0.000133160128;0.000184960169;;
2021;11;03;20;0;0.000148289822;0.000127017070;0.000193189742;;
2021;11;03;21;0;0.000161266901;0.000115276125;0.000175508798;;
2021;11;03;22;0;0.000162895164;0.000100320462;0.000154107512;;
2021;11;03;23;0;0.000147307214;0.000086350298;0.000105692413;;
2021;11;03;24;0;0.000120989434;0.000076949529;0.000091037054;;
2021;11;04;1;0;0.000095246449;0.000072071074;0.000056035453;;
2021;11;04;2;0;0.000078343362;0.000068953145;0.000049247609;;
2021;11;04;3;0;0.000069281895;0.000067768375;0.000044676008;;
2021;11;04;4;0;0.000064992831;0.000067244505;0.000036421619;;
2021;11;04;5;0;0.000063623716;0.000067390549;0.000026315693;;
2021;11;04;6;0;0.000065815107;0.000069722488;0.000029896556;;
2021;11;04;7;0;0.000076520095;0.000079265053;0.000026771694;;
2021;11;04;8;0;0.000100041820;0.000096974302;0.000040743000;;
2021;11;04;9;0;0.000108926824;0.000123885475;0.000100767494;;
2021;11;04;10;0;0.000110445624;0.000143401754;0.000184390033;;
2021;11;04;11;0;0.000113444655;0.000149310544;0.000224868804;;
2021;11;04;12;0;0.000112727522;0.000148697738;0.000223393563;;
2021;11;04;13;0;0.000113639565;0.000148205064;0.000205356411;;
2021;11;04;14;0;0.000121312106;0.000140335161;0.000200093562;;
2021;11;04;15;0;0.000122313908;0.000123839070;0.000202312702;;
2021;11;04;16;0;0.000115534151;0.000118772588;0.000203339187;;
2021;11;04;17;0;0.000111280032;0.000120086852;0.000186123222;;
2021;11;04;18;0;0.000114928525;0.000124128386;0.000179336828;;
2021;11;04;19;0;0.000134400266;0.000134811472;0.000186983538;;
2021;11;04;20;0;0.000149748017;0.000128575409;0.000195303138;;
2021;11;04;21;0;0.000163020339;0.000116741695;0.000177428774;;
2021;11;04;22;0;0.000164671779;0.000101597563;0.000155793369;;
