AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL A;COEF. PERFIL B;COEF. PERFIL C;COEF. PERFIL D;
2020;01;01;1;0;0.000104257749;0.000171516389;0.000072640536;0.000145311647;
2020;01;01;2;0;0.000087092749;0.000157125758;0.000068349998;0.000159689693;
2020;01;01;3;0;0.000073681994;0.000142713583;0.000066330259;0.000156670665;
2020;01;01;4;0;0.000065008266;0.000131784631;0.000064973516;0.000149531131;
2020;01;01;5;0;0.000060407847;0.000126360489;0.000064485088;0.000142180339;
2020;01;01;6;0;0.000058762468;0.000129258478;0.000065024272;0.000135436916;
2020;01;01;7;0;0.000060053917;0.000131223299;0.000066944787;0.000130619673;
2020;01;01;8;0;0.000064965653;0.000132035459;0.000069241535;0.000125130343;
2020;01;01;9;0;0.000076216365;0.000115888629;0.000065005049;0.000098056478;
2020;01;01;10;0;0.000098845849;0.000111339413;0.000064971074;0.000076559658;
2020;01;01;11;0;0.000121780336;0.000121859754;0.000069481625;0.000084115127;
2020;01;01;12;0;0.000134537612;0.000122291771;0.000073270457;0.000087501223;
2020;01;01;13;0;0.000139386019;0.000105169073;0.000075797592;0.000084974246;
2020;01;01;14;0;0.000145325594;0.000105506523;0.000075871022;0.000081212876;
2020;01;01;15;0;0.000144813084;0.000103895925;0.000073121684;0.000078983607;
2020;01;01;16;0;0.000130466572;0.000093504233;0.000070118450;0.000071363828;
2020;01;01;17;0;0.000123081013;0.000087913490;0.000068113579;0.000067794717;
2020;01;01;18;0;0.000123393924;0.000088831471;0.000068298264;0.000069849120;
2020;01;01;19;0;0.000138030480;0.000122674997;0.000079270045;0.000109450562;
2020;01;01;20;0;0.000151647385;0.000146496898;0.000084943458;0.000148306391;
2020;01;01;21;0;0.000162693294;0.000156201622;0.000084450531;0.000153668033;
2020;01;01;22;0;0.000165274490;0.000162148592;0.000081354535;0.000155594154;
2020;01;01;23;0;0.000146844407;0.000187817771;0.000076448997;0.000153821119;
2020;01;01;24;0;0.000119615592;0.000181968611;0.000071109049;0.000147841510;
2020;01;02;1;0;0.000091005621;0.000157389828;0.000070522580;0.000143523479;
2020;01;02;2;0;0.000070857764;0.000139062573;0.000067595898;0.000160696064;
2020;01;02;3;0;0.000061015222;0.000126471645;0.000066097892;0.000158025430;
2020;01;02;4;0;0.000056692210;0.000118908470;0.000065666227;0.000151562104;
2020;01;02;5;0;0.000055280665;0.000116393505;0.000065903812;0.000144057023;
2020;01;02;6;0;0.000056899123;0.000121166934;0.000068430341;0.000137202365;
2020;01;02;7;0;0.000067280300;0.000129526098;0.000078437450;0.000136036869;
2020;01;02;8;0;0.000092888327;0.000146464807;0.000101311714;0.000141518561;
2020;01;02;9;0;0.000113113436;0.000140225503;0.000134947947;0.000121999641;
2020;01;02;10;0;0.000124984079;0.000128398093;0.000156098850;0.000095983916;
2020;01;02;11;0;0.000135938070;0.000127955667;0.000163705065;0.000096948860;
2020;01;02;12;0;0.000137566565;0.000119404010;0.000162720230;0.000093665138;
2020;01;02;13;0;0.000139459670;0.000101259421;0.000160194110;0.000089378726;
2020;01;02;14;0;0.000145567994;0.000102609102;0.000149789581;0.000085530269;
2020;01;02;15;0;0.000144364512;0.000101611086;0.000129714524;0.000082443323;
2020;01;02;16;0;0.000137808647;0.000096001856;0.000123060178;0.000078748080;
