AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL A;COEF. PERFIL B;COEF. PERFIL C;COEF. PERFIL D;
2017;01;01;1;0;0.000105332207;0.000221641640;0.000077911177;0.000179960895;
2017;01;01;2;0;0.000088353057;0.000207903451;0.000073595783;0.000182965020;
2017;01;01;3;0;0.000075721891;0.000192701146;0.000071473021;0.000172362103;
2017;01;01;4;0;0.000067702134;0.000181312113;0.000069976144;0.000165199065;
2017;01;01;5;0;0.000063299345;0.000176672946;0.000068951100;0.000158254624;
2017;01;01;6;0;0.000061871502;0.000183519984;0.000069374237;0.000156210389;
2017;01;01;7;0;0.000063721059;0.000186250935;0.000071610986;0.000158058821;
2017;01;01;8;0;0.000068227545;0.000181525288;0.000073904500;0.000162112335;
2017;01;01;9;0;0.000078224940;0.000133128940;0.000068906888;0.000089694387;
2017;01;01;10;0;0.000097900834;0.000110454202;0.000067663007;0.000050715145;
2017;01;01;11;0;0.000118359649;0.000113980382;0.000072436598;0.000056799012;
2017;01;01;12;0;0.000130591334;0.000105367877;0.000077060360;0.000059442269;
2017;01;01;13;0;0.000135791462;0.000081010560;0.000080024319;0.000059030508;
2017;01;01;14;0;0.000140253591;0.000080198542;0.000079609563;0.000059365358;
2017;01;01;15;0;0.000139834412;0.000078851894;0.000076774898;0.000060251832;
2017;01;01;16;0;0.000126401124;0.000070909662;0.000073477059;0.000057190917;
2017;01;01;17;0;0.000120266247;0.000067636850;0.000071734853;0.000051917693;
2017;01;01;18;0;0.000123225447;0.000072343463;0.000072951797;0.000051846314;
2017;01;01;19;0;0.000140398790;0.000135642894;0.000086767175;0.000157998172;
2017;01;01;20;0;0.000152084873;0.000170414144;0.000093281103;0.000243054107;
2017;01;01;21;0;0.000161407616;0.000175152246;0.000092657958;0.000245641759;
2017;01;01;22;0;0.000162929922;0.000179324121;0.000088595705;0.000244816236;
2017;01;01;23;0;0.000144186002;0.000218025462;0.000082048017;0.000221818073;
2017;01;01;24;0;0.000118885257;0.000226743360;0.000076047788;0.000195511971;
2017;01;02;1;0;0.000091473869;0.000216578383;0.000072703807;0.000173476639;
2017;01;02;2;0;0.000072717478;0.000199834934;0.000070289992;0.000178508355;
2017;01;02;3;0;0.000063901611;0.000185209200;0.000069136772;0.000169207933;
2017;01;02;4;0;0.000060066794;0.000176329587;0.000068427937;0.000162805177;
2017;01;02;5;0;0.000058902402;0.000172809366;0.000068828851;0.000158227924;
2017;01;02;6;0;0.000060993538;0.000182160845;0.000071487223;0.000159414070;
2017;01;02;7;0;0.000071870937;0.000189775126;0.000081817955;0.000164755476;
2017;01;02;8;0;0.000100142129;0.000196063731;0.000103841361;0.000174228227;
2017;01;02;9;0;0.000124826597;0.000152853798;0.000138403960;0.000107548437;
2017;01;02;10;0;0.000141177612;0.000123137536;0.000160489991;0.000069212640;
2017;01;02;11;0;0.000155008307;0.000117161151;0.000169825331;0.000068521802;
2017;01;02;12;0;0.000157643989;0.000102189550;0.000169553946;0.000065238736;
2017;01;02;13;0;0.000158445969;0.000077522503;0.000167029107;0.000062863475;
2017;01;02;14;0;0.000160531420;0.000078703477;0.000155049959;0.000064197975;
2017;01;02;15;0;0.000151035358;0.000078112422;0.000134096217;0.000060193108;
2017;01;02;16;0;0.000143614372;0.000074036159;0.000127011869;0.000053166286;
2017;01;02;17;0;0.000145231476;0.000072461933;0.000129334087;0.000052317564;
2017;01;02;18;0;0.000155115409;0.000075356142;0.000135071854;0.000057162047;
2017;01;02;19;0;0.000170773856;0.000133617086;0.000145431814;0.000147314667;
2017;01;02;20;0;0.000180042410;0.000176216982;0.000141679866;0.000246849920;
2017;01;02;21;0;0.000181940730;0.000182473133;0.000126096612;0.000249696203;
2017;01;02;22;0;0.000176127117;0.000185922457;0.000107089373;0.000248294029;
2017;01;02;23;0;0.000153941784;0.000224039860;0.000092111038;0.000224427681;
2017;01;02;24;0;0.000124373292;0.000230089577;0.000083039243;0.000196495568;
2017;01;03;1;0;0.000098486889;0.000224993630;0.000080631541;0.000181442669;
2017;01;03;2;0;0.000077551657;0.000207372286;0.000077942898;0.000187362248;
2017;01;03;3;0;0.000068717903;0.000191987806;0.000076356779;0.000179029120;
2017;01;03;4;0;0.000064661091;0.000182692070;0.000075385539;0.000170545105;
2017;01;03;5;0;0.000063613364;0.000180080206;0.000075397550;0.000164857618;
2017;01;03;6;0;0.000065798937;0.000189080796;0.000078204144;0.000165470763;
2017;01;03;7;0;0.000077786290;0.000196983491;0.000089467145;0.000168913262;
2017;01;03;8;0;0.000108558257;0.000204502937;0.000114083346;0.000179888269;
2017;01;03;9;0;0.000134929847;0.000159456847;0.000152176584;0.000109463260;
2017;01;03;10;0;0.000151260357;0.000129060348;0.000175291692;0.000068961248;
2017;01;03;11;0;0.000165009998;0.000121447943;0.000184002219;0.000069732709;
2017;01;03;12;0;0.000166060059;0.000104999917;0.000182707928;0.000065686543;
2017;01;03;13;0;0.000166882090;0.000079576311;0.000179600280;0.000063314202;
2017;01;03;14;0;0.000168180714;0.000080479352;0.000166744370;0.000063336559;
2017;01;03;15;0;0.000158210799;0.000079005454;0.000143637874;0.000059465004;
2017;01;03;16;0;0.000150613141;0.000075126809;0.000136940882;0.000055889558;
2017;01;03;17;0;0.000152473677;0.000073558007;0.000140011787;0.000053032245;
2017;01;03;18;0;0.000163571655;0.000077119080;0.000146013924;0.000057314745;
2017;01;03;19;0;0.000181497121;0.000136206667;0.000157661863;0.000146051585;
2017;01;03;20;0;0.000192644810;0.000181528959;0.000154704810;0.000249774252;
2017;01;03;21;0;0.000194755118;0.000188539092;0.000137003263;0.000256159942;
2017;01;03;22;0;0.000187442557;0.000191381451;0.000115782759;0.000251330027;
2017;01;03;23;0;0.000163641635;0.000230683397;0.000098713716;0.000224868847;
2017;01;03;24;0;0.000132250980;0.000237318567;0.000088299653;0.000198964540;
2017;01;04;1;0;0.000098260777;0.000224787748;0.000080285191;0.000181507434;
2017;01;04;2;0;0.000077386729;0.000207217657;0.000077621256;0.000187460905;
2017;01;04;3;0;0.000068605696;0.000191939588;0.000076079313;0.000179212033;
2017;01;04;4;0;0.000064548407;0.000182626097;0.000075103342;0.000170700572;
2017;01;04;5;0;0.000063506071;0.000180025284;0.000075119525;0.000165017166;
2017;01;04;6;0;0.000065639061;0.000188882422;0.000077857770;0.000165507611;
2017;01;04;7;0;0.000077545971;0.000196646695;0.000089011983;0.000168839147;
2017;01;04;8;0;0.000108178750;0.000204070058;0.000113456678;0.000179736035;
2017;01;04;9;0;0.000134353275;0.000158995209;0.000151222624;0.000109285319;
2017;01;04;10;0;0.000150514693;0.000128601859;0.000174077972;0.000068803749;
2017;01;04;11;0;0.000164047226;0.000120906440;0.000182562007;0.000069510175;
2017;01;04;12;0;0.000164953558;0.000104444625;0.000181126755;0.000065422347;
2017;01;04;13;0;0.000165699112;0.000079121569;0.000177969744;0.000063032540;
2017;01;04;14;0;0.000167002438;0.000080026114;0.000165244309;0.000063060048;
2017;01;04;15;0;0.000157150594;0.000078584631;0.000142389376;0.000059223569;
2017;01;04;16;0;0.000149630968;0.000074740190;0.000135775201;0.000055672729;
2017;01;04;17;0;0.000151504253;0.000073191482;0.000138842768;0.000052835179;
2017;01;04;18;0;0.000162483739;0.000076712182;0.000144752089;0.000057084925;
2017;01;04;19;0;0.000180290322;0.000135488264;0.000156299663;0.000145466223;
2017;01;04;20;0;0.000191418569;0.000180623107;0.000153411982;0.000248844265;
2017;01;04;21;0;0.000193420625;0.000187506338;0.000135791794;0.000255081132;
2017;01;04;22;0;0.000186374323;0.000190554127;0.000114892184;0.000250562153;
2017;01;04;23;0;0.000162895531;0.000229949430;0.000098066702;0.000224438765;
2017;01;04;24;0;0.000131708273;0.000236671799;0.000087761062;0.000198674924;
2017;01;05;1;0;0.000094976782;0.000221131824;0.000076409105;0.000180251671;
2017;01;05;2;0;0.000074768434;0.000203760460;0.000073842242;0.000186084471;
2017;01;05;3;0;0.000066274060;0.000188707567;0.000072363972;0.000177868153;
2017;01;05;4;0;0.000062319990;0.000179451064;0.000071395940;0.000169326311;
2017;01;05;5;0;0.000061298038;0.000176850457;0.000071393154;0.000163647010;
2017;01;05;6;0;0.000063335433;0.000185488623;0.000073970534;0.000164077857;
2017;01;05;7;0;0.000074731743;0.000192874085;0.000084463049;0.000167173196;
2017;01;05;8;0;0.000104135941;0.000199930627;0.000107537802;0.000177763040;
2017;01;05;9;0;0.000129261448;0.000155684778;0.000143255050;0.000108026476;
2017;01;05;10;0;0.000144861706;0.000125968889;0.000164964664;0.000068035319;
2017;01;05;11;0;0.000157910942;0.000118449743;0.000173031887;0.000068744719;
2017;01;05;12;0;0.000158857711;0.000102370320;0.000171751930;0.000064732199;
2017;01;05;13;0;0.000159539660;0.000077532667;0.000168720193;0.000062353511;
2017;01;05;14;0;0.000160623936;0.000078335845;0.000156489921;0.000062314538;
2017;01;05;15;0;0.000151001647;0.000076850134;0.000134714906;0.000058466602;
2017;01;05;16;0;0.000143584800;0.000072993222;0.000128286172;0.000054887964;
2017;01;05;17;0;0.000145291227;0.000071435891;0.000131102278;0.000052057747;
2017;01;05;18;0;0.000155625268;0.000074778354;0.000136510940;0.000056174507;
2017;01;05;19;0;0.000172494323;0.000131930566;0.000147242384;0.000142992145;
2017;01;05;20;0;0.000182944910;0.000175691571;0.000144367007;0.000244349539;
2017;01;05;21;0;0.000184837236;0.000182366049;0.000127771095;0.000250445160;
2017;01;05;22;0;0.000178071826;0.000185297195;0.000108086642;0.000245964386;
