AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL A;COEF. PERFIL B;COEF. PERFIL C;COEF. PERFIL D;
2018;09;01;1;1;0.000101647959;0.000147838532;0.000104852200;0.000182849062;
2018;09;01;2;1;0.000086414871;0.000137397292;0.000097323587;0.000183796467;
2018;09;01;3;1;0.000076341332;0.000130794391;0.000092891145;0.000178609624;
2018;09;01;4;1;0.000071102288;0.000127578346;0.000090484409;0.000170521824;
2018;09;01;5;1;0.000068448429;0.000125110210;0.000089257884;0.000167283514;
2018;09;01;6;1;0.000067870066;0.000124383618;0.000090293603;0.000164904300;
2018;09;01;7;1;0.000070053248;0.000125979797;0.000093977444;0.000162410909;
2018;09;01;8;1;0.000076146519;0.000109746713;0.000095502546;0.000129194324;
2018;09;01;9;1;0.000091069132;0.000064109323;0.000095913122;0.000045630625;
2018;09;01;10;1;0.000113523498;0.000070983550;0.000109734335;0.000048025517;
2018;09;01;11;1;0.000131186154;0.000079051232;0.000124795985;0.000053654798;
2018;09;01;12;1;0.000136961230;0.000079668167;0.000130891384;0.000055844429;
2018;09;01;13;1;0.000141309171;0.000078902011;0.000134512903;0.000056545038;
2018;09;01;14;1;0.000147854586;0.000078914647;0.000132745032;0.000056566571;
2018;09;01;15;1;0.000143443022;0.000078043320;0.000124211471;0.000058734030;
2018;09;01;16;1;0.000129839507;0.000071665975;0.000120749674;0.000054532664;
2018;09;01;17;1;0.000122555428;0.000067076174;0.000118355658;0.000050391484;
2018;09;01;18;1;0.000121430157;0.000065688846;0.000120167134;0.000048942674;
2018;09;01;19;1;0.000122240339;0.000066447531;0.000121226893;0.000049101497;
2018;09;01;20;1;0.000123576769;0.000068092727;0.000123968057;0.000052189204;
2018;09;01;21;1;0.000135750367;0.000113905087;0.000137109063;0.000113342920;
2018;09;01;22;1;0.000146060529;0.000161179868;0.000136551359;0.000233146578;
2018;09;01;23;1;0.000135012401;0.000158778663;0.000125292952;0.000239449645;
2018;09;01;24;1;0.000117687646;0.000156212577;0.000115358791;0.000224765866;
2018;09;02;1;1;0.000103109957;0.000148186310;0.000107359008;0.000180636316;
2018;09;02;2;1;0.000088575694;0.000138365013;0.000098854441;0.000177884030;
2018;09;02;3;1;0.000078614109;0.000131724831;0.000094036203;0.000172403145;
2018;09;02;4;1;0.000072990570;0.000127980750;0.000091637201;0.000166755118;
2018;09;02;5;1;0.000069981044;0.000125734900;0.000090486223;0.000162929120;
2018;09;02;6;1;0.000068894163;0.000124801403;0.000091118750;0.000161037851;
2018;09;02;7;1;0.000069832029;0.000126005760;0.000093097028;0.000162260495;
2018;09;02;8;1;0.000073158716;0.000108888626;0.000090576307;0.000131505741;
2018;09;02;9;1;0.000083175960;0.000060304275;0.000084294826;0.000044666526;
2018;09;02;10;1;0.000101618521;0.000065409675;0.000090675706;0.000045141775;
2018;09;02;11;1;0.000118264809;0.000075017620;0.000098029214;0.000051299386;
2018;09;02;12;1;0.000127013215;0.000078119268;0.000103759106;0.000055664171;
2018;09;02;13;1;0.000132416637;0.000077987309;0.000107494167;0.000055396613;
2018;09;02;14;1;0.000140092305;0.000078048848;0.000109122169;0.000055990312;
2018;09;02;15;1;0.000139610279;0.000077456249;0.000108491341;0.000058577110;
2018;09;02;16;1;0.000126741054;0.000069876056;0.000106384606;0.000055085533;
2018;09;02;17;1;0.000119353883;0.000065658920;0.000102926977;0.000051524179;
2018;09;02;18;1;0.000118714245;0.000064026926;0.000099704494;0.000051549383;
2018;09;02;19;1;0.000121395177;0.000064993753;0.000099394239;0.000050348180;
2018;09;02;20;1;0.000125784054;0.000068276211;0.000101490200;0.000052703545;
2018;09;02;21;1;0.000144539214;0.000118861700;0.000116068049;0.000119630162;
2018;09;02;22;1;0.000157659944;0.000166991236;0.000122334066;0.000237028136;
2018;09;02;23;1;0.000140939543;0.000162348852;0.000114782966;0.000241497795;
2018;09;02;24;1;0.000117672614;0.000157500954;0.000105316170;0.000226819419;
2018;09;03;1;1;0.000095256940;0.000143992116;0.000095526349;0.000184474493;
2018;09;03;2;1;0.000079961990;0.000133155195;0.000090705144;0.000180778987;
2018;09;03;3;1;0.000071881881;0.000127082214;0.000088004479;0.000175371740;
2018;09;03;4;1;0.000068463660;0.000124716366;0.000086776816;0.000168663092;
2018;09;03;5;1;0.000066908570;0.000122931579;0.000086143000;0.000165171162;
2018;09;03;6;1;0.000067508130;0.000122338091;0.000088400050;0.000161034446;
2018;09;03;7;1;0.000075211906;0.000126806564;0.000098397497;0.000161535712;
2018;09;03;8;1;0.000094692190;0.000118833714;0.000114887569;0.000136756113;
2018;09;03;9;1;0.000112772148;0.000077113328;0.000141915843;0.000055979229;
2018;09;03;10;1;0.000126916438;0.000076323917;0.000168516681;0.000055181187;
2018;09;03;11;1;0.000138429174;0.000079429131;0.000182257899;0.000057751963;
2018;09;03;12;1;0.000143357286;0.000079244373;0.000186270018;0.000060418182;
2018;09;03;13;1;0.000149189883;0.000079053459;0.000189814240;0.000061746409;
2018;09;03;14;1;0.000155162228;0.000080149618;0.000183371444;0.000059619794;
2018;09;03;15;1;0.000148547179;0.000078825759;0.000164199008;0.000062210003;
2018;09;03;16;1;0.000138387568;0.000072654819;0.000156969459;0.000057340189;
2018;09;03;17;1;0.000137774466;0.000069375093;0.000158098340;0.000055759406;
2018;09;03;18;1;0.000143699357;0.000069903898;0.000161759984;0.000055520188;
2018;09;03;19;1;0.000146035321;0.000070445034;0.000157344152;0.000054452275;
2018;09;03;20;1;0.000147393458;0.000072693589;0.000149626122;0.000057751778;
2018;09;03;21;1;0.000158724497;0.000121118743;0.000149789874;0.000123501559;
2018;09;03;22;1;0.000164281320;0.000167480690;0.000138900817;0.000238948936;
2018;09;03;23;1;0.000144691176;0.000162076962;0.000120965863;0.000239771737;
2018;09;03;24;1;0.000119327787;0.000156071119;0.000107492177;0.000225216152;
2018;09;04;1;1;0.000095994152;0.000143146908;0.000097834898;0.000182880632;
2018;09;04;2;1;0.000080442146;0.000132388568;0.000093034663;0.000184116489;
2018;09;04;3;1;0.000072347624;0.000126771290;0.000090026184;0.000179445070;
2018;09;04;4;1;0.000068647977;0.000124339212;0.000088480629;0.000170668671;
2018;09;04;5;1;0.000066892649;0.000122564761;0.000088056416;0.000166548891;
2018;09;04;6;1;0.000067616595;0.000122300229;0.000090230141;0.000163409964;
2018;09;04;7;1;0.000075089632;0.000126774180;0.000099969208;0.000162952887;
2018;09;04;8;1;0.000095038552;0.000118132967;0.000115597056;0.000135442130;
2018;09;04;9;1;0.000112694601;0.000077371498;0.000141318445;0.000055935459;
2018;09;04;10;1;0.000126299832;0.000077140499;0.000167069262;0.000054581813;
2018;09;04;11;1;0.000138099648;0.000079733921;0.000180169978;0.000056548461;
2018;09;04;12;1;0.000142668741;0.000079219984;0.000184242767;0.000059995257;
2018;09;04;13;1;0.000148091247;0.000079036670;0.000187840728;0.000059886855;
