AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2021;12;01;1;0;0.000122238955;0.000085094536;0.000062668525;;
2021;12;01;2;0;0.000099247717;0.000081187465;0.000047050498;;
2021;12;01;3;0;0.000086719874;0.000079636645;0.000027855941;;
2021;12;01;4;0;0.000080528472;0.000078660824;0.000030885437;;
2021;12;01;5;0;0.000078255188;0.000078909531;0.000019273492;;
2021;12;01;6;0;0.000080765485;0.000081892803;0.000022623621;;
2021;12;01;7;0;0.000092185463;0.000092822435;0.000028185141;;
2021;12;01;8;0;0.000118976326;0.000116512793;0.000038706076;;
2021;12;01;9;0;0.000133097846;0.000149163847;0.000059074861;;
2021;12;01;10;0;0.000138627501;0.000169047949;0.000105863468;;
2021;12;01;11;0;0.000145671340;0.000176759486;0.000173127941;;
2021;12;01;12;0;0.000143949550;0.000175999882;0.000152417719;;
2021;12;01;13;0;0.000142240242;0.000174167409;0.000178028614;;
2021;12;01;14;0;0.000150175344;0.000164210532;0.000166822968;;
2021;12;01;15;0;0.000152265109;0.000144990364;0.000173730047;;
2021;12;01;16;0;0.000145674856;0.000138563868;0.000143776527;;
2021;12;01;17;0;0.000141584342;0.000139434459;0.000150246101;;
2021;12;01;18;0;0.000147554119;0.000145328628;0.000139457767;;
2021;12;01;19;0;0.000168594919;0.000156072929;0.000143100382;;
2021;12;01;20;0;0.000182031455;0.000147557010;0.000150989554;;
2021;12;01;21;0;0.000194548698;0.000134061371;0.000146721581;;
2021;12;01;22;0;0.000197870902;0.000117684415;0.000129566473;;
2021;12;01;23;0;0.000184058277;0.000102407779;0.000098395281;;
2021;12;01;24;0;0.000154711572;0.000092084643;0.000082393595;;
2021;12;02;1;0;0.000122749307;0.000085350738;0.000062751434;;
2021;12;02;2;0;0.000099612479;0.000081414618;0.000047112745;;
2021;12;02;3;0;0.000087083854;0.000079877147;0.000027892794;;
2021;12;02;4;0;0.000081054804;0.000078976717;0.000030926298;;
2021;12;02;5;0;0.000078785706;0.000079234060;0.000019298990;;
2021;12;02;6;0;0.000081128694;0.000082149480;0.000022653551;;
2021;12;02;7;0;0.000092420960;0.000093036784;0.000028222430;;
2021;12;02;8;0;0.000118689748;0.000116536280;0.000038757284;;
2021;12;02;9;0;0.000132478199;0.000149052031;0.000059153016;;
